Format Version,1.21,Take Name,Take 2016-02-09 06.04.27 PM,Capture Frame Rate,206,Export Frame Rate,206,Capture Start Time,2016-02-09 06.04.27.420 PM,Total Frames in Take,4527,Total Exported Frames,4527,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,
,,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,,,,,,
,,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
76,0.368932,-0.029277,0.023059,0.064765,-0.039987,0.027355,0.077973,-0.016208,0.02232,0.079797,-0.028885,0.025962,0.091085,,,,,,
77,0.373786,-0.029279,0.023059,0.064764,-0.039988,0.027355,0.077973,-0.016209,0.022319,0.079797,-0.028885,0.025962,0.091084,,,,,,
78,0.378641,-0.029281,0.023058,0.064763,-0.039989,0.027355,0.077972,-0.01621,0.022317,0.079798,-0.028885,0.025962,0.091084,,,,,,
79,0.383495,-0.029282,0.023058,0.064762,-0.039989,0.027354,0.077972,-0.016212,0.022315,0.079798,-0.028885,0.025962,0.091084,,,,,,
80,0.38835,-0.029284,0.023058,0.06476,-0.03999,0.027354,0.077971,-0.016213,0.022313,0.079799,-0.028885,0.025962,0.091083,,,,,,
81,0.393204,-0.029286,0.023058,0.064759,-0.039991,0.027354,0.077971,-0.016214,0.022312,0.0798,-0.028885,0.025962,0.091083,,,,,,
82,0.398058,-0.029288,0.023058,0.064758,-0.039991,0.027354,0.07797,-0.016216,0.02231,0.0798,-0.028884,0.025962,0.091083,,,,,,
83,0.402913,-0.02929,0.023058,0.064756,-0.039992,0.027354,0.07797,-0.016217,0.022308,0.079801,-0.028884,0.025962,0.091082,,,,,,
84,0.407767,-0.029291,0.023058,0.064755,-0.039993,0.027354,0.077969,-0.016218,0.022306,0.079801,-0.028884,0.025962,0.091082,,,,,,
85,0.412621,-0.029293,0.023057,0.064753,-0.039993,0.027354,0.077969,-0.01622,0.022304,0.079802,-0.028884,0.025962,0.091081,,,,,,
86,0.417476,-0.029295,0.023057,0.064752,-0.039994,0.027354,0.077968,-0.016221,0.022302,0.079803,-0.028883,0.025962,0.091081,,,,,,
87,0.42233,-0.029297,0.023057,0.06475,-0.039995,0.027354,0.077968,-0.016223,0.0223,0.079803,-0.028883,0.025962,0.09108,,,,,,
88,0.427184,-0.029299,0.023057,0.064749,-0.039996,0.027354,0.077967,-0.016225,0.022298,0.079804,-0.028883,0.025962,0.09108,,,,,,
89,0.432039,-0.029301,0.023057,0.064747,-0.039996,0.027354,0.077967,-0.016226,0.022296,0.079805,-0.028883,0.025962,0.091079,,,,,,
90,0.436893,-0.029303,0.023057,0.064746,-0.039997,0.027353,0.077966,-0.016228,0.022293,0.079805,-0.028882,0.025961,0.091079,,,,,,
91,0.441748,-0.029306,0.023057,0.064744,-0.039998,0.027353,0.077965,-0.016229,0.022291,0.079806,-0.028882,0.025961,0.091078,,,,,,
92,0.446602,-0.029308,0.023056,0.064742,-0.039999,0.027353,0.077965,-0.016231,0.022289,0.079807,-0.028882,0.025961,0.091078,,,,,,
93,0.451456,-0.02931,0.023056,0.064741,-0.04,0.027353,0.077964,-0.016233,0.022287,0.079807,-0.028882,0.025961,0.091077,,,,,,
94,0.456311,-0.029312,0.023056,0.064739,-0.04,0.027353,0.077964,-0.016235,0.022284,0.079808,-0.028881,0.025961,0.091077,,,,,,
95,0.461165,-0.029314,0.023056,0.064737,-0.040001,0.027353,0.077963,-0.016237,0.022282,0.079809,-0.028881,0.025961,0.091076,,,,,,
96,0.466019,-0.029317,0.023056,0.064736,-0.040002,0.027353,0.077963,-0.016238,0.02228,0.07981,-0.028881,0.025961,0.091076,,,,,,
97,0.470874,-0.029319,0.023056,0.064734,-0.040003,0.027352,0.077962,-0.01624,0.022277,0.079811,-0.02888,0.025961,0.091075,,,,,,
98,0.475728,-0.029322,0.023056,0.064732,-0.040004,0.027352,0.077961,-0.016242,0.022274,0.079811,-0.02888,0.02596,0.091075,,,,,,
99,0.480583,-0.029324,0.023056,0.06473,-0.040005,0.027352,0.077961,-0.016244,0.022272,0.079812,-0.02888,0.02596,0.091074,,,,,,
100,0.485437,-0.029326,0.023056,0.064728,-0.040006,0.027352,0.07796,-0.016246,0.022269,0.079813,-0.028879,0.02596,0.091074,,,,,,
101,0.490291,-0.029329,0.023056,0.064727,-0.040007,0.027352,0.07796,-0.016248,0.022267,0.079814,-0.028879,0.02596,0.091073,,,,,,
102,0.495146,-0.029331,0.023056,0.064725,-0.040008,0.027352,0.077959,-0.01625,0.022264,0.079815,-0.028879,0.02596,0.091073,,,,,,
103,0.5,-0.029334,0.023056,0.064723,-0.040008,0.027351,0.077959,-0.016253,0.022261,0.079816,-0.028879,0.02596,0.091072,,,,,,
104,0.504854,-0.029337,0.023056,0.064721,-0.040009,0.027351,0.077958,-0.016255,0.022258,0.079817,-0.028878,0.02596,0.091072,,,,,,
105,0.509709,-0.029339,0.023056,0.064719,-0.04001,0.027351,0.077957,-0.016257,0.022256,0.079818,-0.028878,0.02596,0.091071,,,,,,
106,0.514563,-0.029342,0.023057,0.064717,-0.040011,0.027351,0.077957,-0.016259,0.022253,0.079819,-0.028878,0.02596,0.091071,,,,,,
107,0.519417,-0.029345,0.023057,0.064714,-0.040012,0.027351,0.077956,-0.016261,0.02225,0.07982,-0.028877,0.02596,0.091071,,,,,,
108,0.524272,-0.029348,0.023057,0.064712,-0.040013,0.027351,0.077956,-0.016264,0.022247,0.079821,-0.028877,0.02596,0.09107,,,,,,
109,0.529126,-0.02935,0.023057,0.06471,-0.040014,0.02735,0.077955,-0.016266,0.022244,0.079822,-0.028877,0.02596,0.09107,,,,,,
110,0.533981,-0.029353,0.023058,0.064708,-0.040015,0.02735,0.077955,-0.016268,0.022241,0.079823,-0.028876,0.02596,0.091069,,,,,,
111,0.538835,-0.029356,0.023058,0.064705,-0.040016,0.02735,0.077954,-0.01627,0.022239,0.079824,-0.028876,0.02596,0.091069,,,,,,
112,0.543689,-0.029359,0.023058,0.064703,-0.040018,0.02735,0.077954,-0.016273,0.022236,0.079825,-0.028876,0.02596,0.091069,,,,,,
113,0.548544,-0.029362,0.023059,0.0647,-0.040019,0.02735,0.077953,-0.016275,0.022233,0.079826,-0.028876,0.02596,0.091068,,,,,,
114,0.553398,-0.029365,0.023059,0.064698,-0.04002,0.02735,0.077952,-0.016277,0.02223,0.079827,-0.028875,0.02596,0.091068,,,,,,
115,0.558252,-0.029368,0.02306,0.064695,-0.040021,0.02735,0.077952,-0.016279,0.022227,0.079828,-0.028875,0.02596,0.091068,,,,,,
116,0.563107,-0.029372,0.023061,0.064693,-0.040022,0.027349,0.077951,-0.016282,0.022224,0.079829,-0.028875,0.02596,0.091067,,,,,,
117,0.567961,-0.029375,0.023061,0.06469,-0.040023,0.027349,0.077951,-0.016284,0.022221,0.07983,-0.028874,0.02596,0.091067,,,,,,
118,0.572816,-0.029378,0.023062,0.064687,-0.040024,0.027349,0.07795,-0.016286,0.022219,0.079831,-0.028874,0.02596,0.091067,,,,,,
119,0.57767,-0.029381,0.023063,0.064684,-0.040025,0.027349,0.07795,-0.016288,0.022216,0.079832,-0.028874,0.02596,0.091066,,,,,,
120,0.582524,-0.029385,0.023064,0.064681,-0.040027,0.027349,0.077949,-0.01629,0.022213,0.079833,-0.028873,0.02596,0.091066,,,,,,
121,0.587379,-0.029388,0.023065,0.064678,-0.040028,0.027349,0.077949,-0.016292,0.022211,0.079834,-0.028873,0.025961,0.091066,,,,,,
122,0.592233,-0.029392,0.023066,0.064675,-0.040029,0.027349,0.077948,-0.016293,0.022208,0.079835,-0.028873,0.025961,0.091065,,,,,,
123,0.597087,-0.029395,0.023067,0.064672,-0.04003,0.027348,0.077948,-0.016295,0.022206,0.079836,-0.028872,0.025961,0.091065,,,,,,
124,0.601942,-0.029399,0.023068,0.064669,-0.040031,0.027348,0.077947,-0.016297,0.022203,0.079837,-0.028872,0.025961,0.091065,,,,,,
125,0.606796,-0.029403,0.023069,0.064666,-0.040033,0.027348,0.077947,-0.016298,0.022201,0.079838,-0.028872,0.025961,0.091064,,,,,,
126,0.61165,-0.029406,0.02307,0.064662,-0.040034,0.027348,0.077946,-0.0163,0.022199,0.079839,-0.028871,0.025961,0.091064,,,,,,
127,0.616505,-0.02941,0.023071,0.064659,-0.040035,0.027348,0.077945,-0.016301,0.022197,0.07984,-0.028871,0.025961,0.091064,,,,,,
128,0.621359,-0.029414,0.023072,0.064655,-0.040036,0.027348,0.077945,-0.016302,0.022195,0.07984,-0.028871,0.025962,0.091063,,,,,,
129,0.626214,-0.029418,0.023074,0.064652,-0.040038,0.027348,0.077944,-0.016303,0.022193,0.079841,-0.02887,0.025962,0.091063,,,,,,
130,0.631068,-0.029422,0.023075,0.064648,-0.040039,0.027347,0.077944,-0.016304,0.022191,0.079842,-0.02887,0.025962,0.091063,,,,,,
131,0.635922,-0.029426,0.023076,0.064644,-0.04004,0.027347,0.077943,-0.016305,0.02219,0.079843,-0.028869,0.025962,0.091062,,,,,,
132,0.640777,-0.02943,0.023077,0.064641,-0.040042,0.027347,0.077943,-0.016306,0.022188,0.079843,-0.028869,0.025962,0.091062,,,,,,
133,0.645631,-0.029434,0.023079,0.064637,-0.040043,0.027347,0.077942,-0.016306,0.022187,0.079844,-0.028868,0.025962,0.091062,,,,,,
134,0.650485,-0.029438,0.02308,0.064633,-0.040044,0.027347,0.077941,-0.016307,0.022186,0.079845,-0.028868,0.025963,0.091061,,,,,,
135,0.65534,-0.029442,0.023081,0.064629,-0.040046,0.027347,0.077941,-0.016307,0.022185,0.079845,-0.028867,0.025963,0.091061,,,,,,
136,0.660194,-0.029447,0.023083,0.064625,-0.040047,0.027346,0.07794,-0.016307,0.022184,0.079846,-0.028867,0.025963,0.091061,,,,,,
