Format Version,1.21,Take Name,SamTrail2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2016-02-02 02.44.51.312 PM,Total Frames in Take,2616,Total Exported Frames,2616,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,,,,
,,soft actuator:constant 0,soft actuator:constant 0,soft actuator:constant 0,soft actuator:end point,soft actuator:end point,soft actuator:end point,soft actuator:middle point,soft actuator:middle point,soft actuator:middle point,,,,,,,,,
,,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000003,8392B20CF49E35717C273B6500000003,8392B20CF49E35717C273B6500000003,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,
77,0.641667,-0.032835,0.097002,0.100239,0.07255,0.095828,0.039346,0.011266,0.094963,0.076337,,,,,,,,,
78,0.65,-0.032834,0.096995,0.100234,0.072554,0.09582,0.039342,0.011259,0.09496,0.076331,,,,,,,,,
79,0.658333,-0.032835,0.09699,0.100228,0.072552,0.095822,0.039334,0.01126,0.094953,0.076327,,,,,,,,,
80,0.666667,-0.03284,0.096992,0.100219,0.072551,0.09582,0.039331,0.011259,0.094952,0.076319,,,,,,,,,
81,0.675,-0.032842,0.096992,0.100215,0.072549,0.095812,0.039324,0.011258,0.094948,0.076308,,,,,,,,,
82,0.683333,-0.032841,0.096996,0.100212,0.072549,0.095818,0.039319,0.011258,0.094952,0.076314,,,,,,,,,
83,0.691667,-0.032843,0.096999,0.100218,0.072549,0.095814,0.039321,0.011257,0.094954,0.076318,,,,,,,,,
84,0.7,-0.032842,0.096997,0.100223,0.072547,0.09582,0.039331,0.011258,0.094959,0.076326,,,,,,,,,
85,0.708333,-0.032844,0.097005,0.100237,0.072546,0.095823,0.039335,0.011258,0.094952,0.076333,,,,,,,,,
86,0.716667,-0.032847,0.096996,0.100239,0.072545,0.095818,0.03934,0.011259,0.094956,0.076334,,,,,,,,,
87,0.725,-0.032843,0.096995,0.100246,0.072549,0.095822,0.039346,0.011257,0.094952,0.076343,,,,,,,,,
88,0.733333,-0.03284,0.096997,0.10025,0.072552,0.095824,0.039348,0.011262,0.094951,0.076342,,,,,,,,,
89,0.741667,-0.032835,0.096991,0.100235,0.072558,0.095817,0.039344,0.011268,0.094953,0.076335,,,,,,,,,
90,0.75,-0.032834,0.097,0.100226,0.072557,0.095823,0.039334,0.011263,0.094957,0.07633,,,,,,,,,
