Format Version,1.21,,2016-02-19 04.26.29.968 PM,Total Frames in Take,Take Name,Best motion Take 2016-02-19 04.26.29 PM,Capture Frame Rate,,Total Exported Frames,5509,120,Export Frame Rate,120,Capture Start Time,,,5509,,,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,,,,,,,
,,MarkerSet:Away from port top,MarkerSet:Away from port top,MarkerSet:Away from port top,MarkerSet:Ridgeside away from port,MarkerSet:Ridgeside away from port,MarkerSet:Ridgeside away from port,MarkerSet:Close to port top,MarkerSet:Close to port top,MarkerSet:Close to port top,MarkerSet:Ridge side close to port,MarkerSet:Ridge side close to port,MarkerSet:Ridge side close to port,,,,,,,,,,,,
,,8392B20CF49E357161174D8F00000000,8392B20CF49E357161174D8F00000000,8392B20CF49E357161174D8F00000000,8392B20CF49E357161174D8F00000001,8392B20CF49E357161174D8F00000001,8392B20CF49E357161174D8F00000001,8392B20CF49E357161174D8F00000002,8392B20CF49E357161174D8F00000002,8392B20CF49E357161174D8F00000002,8392B20CF49E357161174D8F00000003,8392B20CF49E357161174D8F00000003,8392B20CF49E357161174D8F00000003,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,
64,0.533333,0.07994,0.087758,0.069374,0.065233,0.089049,0.079357,0.090577,0.087628,0.085397,0.076332,0.088927,0.09549,,,,,,,,,,,,
65,0.541667,0.07994,0.087758,0.069374,0.065233,0.089049,0.079357,0.090577,0.087628,0.085397,0.076332,0.088927,0.09549,,,,,,,,,,,,
66,0.55,0.07994,0.087758,0.069374,0.065233,0.089049,0.079357,0.090577,0.087628,0.085397,0.076331,0.088928,0.09549,,,,,,,,,,,,
67,0.558333,0.07994,0.087758,0.069374,0.065233,0.089049,0.079356,0.090577,0.087628,0.085397,0.076331,0.088928,0.09549,,,,,,,,,,,,
68,0.566667,0.07994,0.087758,0.069374,0.065233,0.089049,0.079356,0.090577,0.087628,0.085397,0.076331,0.088928,0.095489,,,,,,,,,,,,
69,0.575,0.07994,0.087758,0.069373,0.065233,0.089049,0.079356,0.090577,0.087629,0.085397,0.076331,0.088928,0.095489,,,,,,,,,,,,
70,0.583333,0.07994,0.087758,0.069373,0.065233,0.089049,0.079356,0.090577,0.087629,0.085397,0.076331,0.088928,0.095489,,,,,,,,,,,,
71,0.591667,0.079939,0.087758,0.069373,0.065233,0.089049,0.079356,0.090577,0.087629,0.085397,0.076331,0.088928,0.095489,,,,,,,,,,,,
72,0.6,0.079939,0.087758,0.069373,0.065233,0.089048,0.079356,0.090577,0.087629,0.085397,0.076331,0.088928,0.095489,,,,,,,,,,,,
73,0.608333,0.079939,0.087758,0.069372,0.065232,0.089048,0.079355,0.090577,0.087629,0.085397,0.076331,0.088928,0.095489,,,,,,,,,,,,
74,0.616667,0.079939,0.087758,0.069372,0.065232,0.089048,0.079355,0.090577,0.087629,0.085397,0.076331,0.088928,0.095489,,,,,,,,,,,,
75,0.625,0.079939,0.087758,0.069372,0.065232,0.089048,0.079355,0.090577,0.087629,0.085397,0.076331,0.088928,0.095489,,,,,,,,,,,,
76,0.633333,0.079939,0.087758,0.069371,0.065232,0.089048,0.079355,0.090577,0.087629,0.085397,0.076331,0.088929,0.095489,,,,,,,,,,,,
77,0.641667,0.079938,0.087758,0.069371,0.065232,0.089048,0.079354,0.090577,0.087629,0.085397,0.076331,0.088929,0.095488,,,,,,,,,,,,
78,0.65,0.079938,0.087758,0.069371,0.065232,0.089048,0.079354,0.090577,0.087629,0.085397,0.076331,0.088929,0.095488,,,,,,,,,,,,
79,0.658333,0.079938,0.087758,0.06937,0.065232,0.089048,0.079354,0.090577,0.087629,0.085397,0.076331,0.088929,0.095488,,,,,,,,,,,,
80,0.666667,0.079938,0.087757,0.06937,0.065231,0.089048,0.079354,0.090577,0.08763,0.085397,0.076331,0.088929,0.095488,,,,,,,,,,,,
81,0.675,0.079937,0.087757,0.06937,0.065231,0.089048,0.079353,0.090577,0.08763,0.085397,0.076331,0.088929,0.095488,,,,,,,,,,,,
82,0.683333,0.079937,0.087757,0.069369,0.065231,0.089048,0.079353,0.090577,0.08763,0.085396,0.076331,0.088929,0.095488,,,,,,,,,,,,
83,0.691667,0.079937,0.087757,0.069369,0.065231,0.089048,0.079353,0.090577,0.08763,0.085396,0.076331,0.08893,0.095487,,,,,,,,,,,,
84,0.7,0.079937,0.087757,0.069368,0.065231,0.089048,0.079353,0.090577,0.08763,0.085396,0.076331,0.08893,0.095487,,,,,,,,,,,,
85,0.708333,0.079936,0.087757,0.069368,0.065231,0.089048,0.079352,0.090577,0.08763,0.085396,0.07633,0.08893,0.095487,,,,,,,,,,,,
86,0.716667,0.079936,0.087757,0.069367,0.06523,0.089048,0.079352,0.090577,0.08763,0.085396,0.07633,0.08893,0.095487,,,,,,,,,,,,
87,0.725,0.079936,0.087757,0.069367,0.06523,0.089048,0.079351,0.090577,0.08763,0.085396,0.07633,0.08893,0.095487,,,,,,,,,,,,
88,0.733333,0.079935,0.087757,0.069366,0.06523,0.089048,0.079351,0.090577,0.08763,0.085396,0.07633,0.08893,0.095487,,,,,,,,,,,,
89,0.741667,0.079935,0.087757,0.069366,0.06523,0.089048,0.079351,0.090577,0.087631,0.085396,0.07633,0.088931,0.095486,,,,,,,,,,,,
90,0.75,0.079935,0.087757,0.069365,0.065229,0.089047,0.07935,0.090577,0.087631,0.085396,0.07633,0.088931,0.095486,,,,,,,,,,,,
91,0.758333,0.079934,0.087757,0.069365,0.065229,0.089047,0.07935,0.090577,0.087631,0.085396,0.07633,0.088931,0.095486,,,,,,,,,,,,
92,0.766667,0.079934,0.087757,0.069364,0.065229,0.089047,0.079349,0.090577,0.087631,0.085396,0.07633,0.088931,0.095486,,,,,,,,,,,,
93,0.775,0.079933,0.087757,0.069364,0.065228,0.089047,0.079349,0.090577,0.087631,0.085396,0.07633,0.088931,0.095485,,,,,,,,,,,,
94,0.783333,0.079933,0.087756,0.069363,0.065228,0.089047,0.079349,0.090577,0.087631,0.085396,0.07633,0.088932,0.095485,,,,,,,,,,,,
95,0.791667,0.079932,0.087756,0.069362,0.065228,0.089047,0.079348,0.090577,0.087631,0.085396,0.07633,0.088932,0.095485,,,,,,,,,,,,
96,0.8,0.079932,0.087756,0.069361,0.065227,0.089047,0.079348,0.090577,0.087632,0.085396,0.076329,0.088932,0.095485,,,,,,,,,,,,
97,0.808333,0.079931,0.087756,0.069361,0.065227,0.089047,0.079347,0.090577,0.087632,0.085396,0.076329,0.088932,0.095484,,,,,,,,,,,,
98,0.816667,0.079931,0.087756,0.06936,0.065227,0.089047,0.079346,0.090577,0.087632,0.085396,0.076329,0.088932,0.095484,,,,,,,,,,,,
99,0.825,0.07993,0.087756,0.069359,0.065226,0.089046,0.079346,0.090578,0.087632,0.085396,0.076329,0.088933,0.095484,,,,,,,,,,,,
100,0.833333,0.07993,0.087756,0.069358,0.065226,0.089046,0.079345,0.090578,0.087632,0.085396,0.076329,0.088933,0.095484,,,,,,,,,,,,
101,0.841667,0.079929,0.087756,0.069357,0.065226,0.089046,0.079345,0.090578,0.087632,0.085396,0.076329,0.088933,0.095483,,,,,,,,,,,,
102,0.85,0.079928,0.087755,0.069356,0.065225,0.089046,0.079344,0.090578,0.087633,0.085396,0.076329,0.088933,0.095483,,,,,,,,,,,,
103,0.858333,0.079928,0.087755,0.069356,0.065225,0.089046,0.079343,0.090578,0.087633,0.085396,0.076329,0.088934,0.095483,,,,,,,,,,,,
104,0.866667,0.079927,0.087755,0.069355,0.065224,0.089046,0.079343,0.090578,0.087633,0.085396,0.076328,0.088934,0.095482,,,,,,,,,,,,
105,0.875,0.079926,0.087755,0.069354,0.065224,0.089045,0.079342,0.090578,0.087633,0.085396,0.076328,0.088934,0.095482,,,,,,,,,,,,
106,0.883333,0.079925,0.087755,0.069353,0.065223,0.089045,0.079341,0.090578,0.087633,0.085396,0.076328,0.088935,0.095482,,,,,,,,,,,,
107,0.891667,0.079925,0.087754,0.069351,0.065223,0.089045,0.07934,0.090578,0.087634,0.085396,0.076328,0.088935,0.095482,,,,,,,,,,,,
108,0.9,0.079924,0.087754,0.06935,0.065222,0.089045,0.07934,0.090578,0.087634,0.085396,0.076328,0.088935,0.095481,,,,,,,,,,,,
109,0.908333,0.079923,0.087754,0.069349,0.065222,0.089045,0.079339,0.090578,0.087634,0.085396,0.076328,0.088935,0.095481,,,,,,,,,,,,
110,0.916667,0.079922,0.087754,0.069348,0.065221,0.089044,0.079338,0.090579,0.087634,0.085397,0.076327,0.088936,0.095481,,,,,,,,,,,,
111,0.925,0.079921,0.087754,0.069347,0.06522,0.089044,0.079337,0.090579,0.087634,0.085397,0.076327,0.088936,0.09548,,,,,,,,,,,,
112,0.933333,0.07992,0.087753,0.069346,0.06522,0.089044,0.079336,0.090579,0.087634,0.085397,0.076327,0.088936,0.09548,,,,,,,,,,,,
